"RowNb","Project","Sample","Lane1","Lane2","Lane3","Lane4","Total","PC.RawPF","PC.DemuxPF"
"1","4489","ABE211_GEX","112690893","113041902","112754644",NA,"338487439","2.5534","3.5797"
"2","4489","ABE212_GEX"," 79099412"," 79561419"," 79322623",NA,"237983454","1.7952","2.5168"
"3","4489","ABE213_GEX","145745374","148025582","147677372",NA,"441448328","3.3301","4.6685"
"4","4489","ABE214_GEX"," 34830342"," 35153766"," 35078065",NA,"105062173","0.7925","1.1111"
"5","4489","ABE215_GEX","115000890","116657804","116190980",NA,"347849674","2.6240","3.6787"
"6","4489","ABE216_GEX"," 81494243"," 82396916"," 81966047",NA,"245857206","1.8546","2.6001"
"7","4489","ABE217_GEX","144120298","146633459","145863294",NA,"436617051","3.2936","4.6174"
"8","4489","ABE218_GEX"," 56196079"," 56678162"," 56728459",NA,"169602700","1.2794","1.7936"
"9","4489","ABE219_GEX"," 73875292"," 73927018"," 73916573",NA,"221718883","1.6725","2.3448"
"10","4489","ABE220_GEX"," 75711938"," 76400711"," 76215903",NA,"228328552","1.7224","2.4147"
"11","4489","ABE221_GEX","141686066","143445003","143228320",NA,"428359389","3.2313","4.5301"
"12","4489","ABE222_GEX","102513876","103948415","103569769",NA,"310032060","2.3387","3.2787"
"13","4489","ABE223_GEX","192103230","195350323","193519632",NA,"580973185","4.3826","6.1441"
"14","4489","ABE224_GEX"," 75958209"," 77127978"," 76686242",NA,"229772429","1.7333","2.4300"
"15","4489","ABE211_TCR"," 23366370"," 23878492"," 23732055",NA," 70976917","0.5354","0.7506"
"16","4489","ABE212_TCR"," 15710960"," 15932860"," 15855858",NA," 47499678","0.3583","0.5023"
"17","4489","ABE213_TCR"," 33961540"," 34501901"," 34263229",NA,"102726670","0.7749","1.0864"
"18","4489","ABE214_TCR"," 10014777"," 10203525"," 10144030",NA," 30362332","0.2290","0.3211"
"19","4489","ABE215_TCR"," 25139818"," 25561765"," 25367393",NA," 76068976","0.5738","0.8045"
"20","4489","ABE216_TCR"," 15155028"," 15440519"," 15341427",NA," 45936974","0.3465","0.4858"
"21","4489","ABE217_TCR"," 38072091"," 38519633"," 38309410",NA,"114901134","0.8668","1.2151"
"22","4489","ABE218_TCR"," 17778857"," 17971351"," 17871655",NA," 53621863","0.4045","0.5671"
"23","4489","ABE219_TCR"," 18058728"," 18273318"," 18157465",NA," 54489511","0.4110","0.5763"
"24","4489","ABE220_TCR"," 16148210"," 16498916"," 16385889",NA," 49033015","0.3699","0.5185"
"25","4489","ABE221_TCR"," 33782683"," 34188009"," 33967898",NA,"101938590","0.7690","1.0781"
"26","4489","ABE222_TCR"," 23469764"," 23815795"," 23698629",NA," 70984188","0.5355","0.7507"
"27","4489","ABE223_TCR"," 34745447"," 35425440"," 35144732",NA,"105315619","0.7944","1.1138"
"28","4489","ABE224_TCR"," 17039364"," 17363780"," 17241427",NA," 51644571","0.3896","0.5462"
"29","4489","ABE211_ADT"," 27002924"," 25915430"," 25916063",NA," 78834417","0.5947","0.8337"
"30","4489","ABE212_ADT"," 18916407"," 18145198"," 18159016",NA," 55220621","0.4166","0.5840"
"31","4489","ABE213_ADT"," 38788663"," 37381315"," 37583641",NA,"113753619","0.8581","1.2030"
"32","4489","ABE214_ADT"," 10243699","  9869775","  9882439",NA," 29995913","0.2263","0.3172"
"33","4489","ABE215_ADT"," 29850656"," 28799386"," 28868069",NA," 87518111","0.6602","0.9255"
"34","4489","ABE216_ADT"," 18642788"," 18014196"," 18058709",NA," 54715693","0.4127","0.5786"
"35","4489","ABE217_ADT"," 39111413"," 37770807"," 37851284",NA,"114733504","0.8655","1.2134"
"36","4489","ABE218_ADT"," 22061742"," 21315189"," 21346354",NA," 64723285","0.4882","0.6845"
"37","4489","ABE219_ADT"," 17123840"," 16489219"," 16530730",NA," 50143789","0.3783","0.5303"
"38","4489","ABE220_ADT"," 14850566"," 14396553"," 14454240",NA," 43701359","0.3297","0.4622"
"39","4489","ABE221_ADT"," 38018547"," 36515722"," 36535299",NA,"111069568","0.8378","1.1746"
"40","4489","ABE222_ADT"," 21593467"," 20818253"," 20822503",NA," 63234223","0.4770","0.6687"
"41","4489","ABE223_ADT"," 29896979"," 28880454"," 29035285",NA," 87812718","0.6624","0.9287"
"42","4489","ABE224_ADT"," 16587008"," 16048409"," 16096401",NA," 48731818","0.3676","0.5154"
"43","4497","ABE225_GEX"," 68510302"," 68209318"," 68439195",NA,"205158815","1.5476","2.1697"
"44","4497","ABE226_GEX"," 75189780"," 74791316"," 75025678",NA,"225006774","1.6973","2.3796"
"45","4497","ABE227_GEX"," 74435897"," 73727949"," 73855005",NA,"222018851","1.6748","2.3480"
"46","4497","ABE228_GEX"," 80178999"," 79889246"," 79897291",NA,"239965536","1.8102","2.5378"
"47","4497","ABE229_GEX"," 82867362"," 83039191"," 83134607",NA,"249041160","1.8786","2.6337"
"48","4497","ABE230_GEX"," 96891158"," 97795327"," 97607754",NA,"292294239","2.2049","3.0912"
"49","4497","ABE231_GEX"," 77768933"," 78782701"," 78606649",NA,"235158283","1.7739","2.4869"
"50","4497","ABE232_GEX"," 79320836"," 80249242"," 80115726",NA,"239685804","1.8081","2.5348"
"51","4497","ABE233_GEX"," 79509536"," 80800933"," 80727401",NA,"241037870","1.8183","2.5491"
"52","4497","ABE234_GEX"," 85919661"," 86819004"," 86541993",NA,"259280658","1.9559","2.7420"
"53","4497","ABE225_TCR"," 11704436"," 11902039"," 11875887",NA," 35482362","0.2677","0.3752"
"54","4497","ABE226_TCR"," 12185295"," 12391157"," 12343440",NA," 36919892","0.2785","0.3904"
"55","4497","ABE227_TCR"," 13669412"," 13821852"," 13768435",NA," 41259699","0.3112","0.4363"
"56","4497","ABE228_TCR"," 15419066"," 15638333"," 15498845",NA," 46556244","0.3512","0.4924"
"57","4497","ABE229_TCR"," 12215843"," 12511675"," 12390974",NA," 37118492","0.2800","0.3925"
"58","4497","ABE230_TCR"," 13420140"," 13610207"," 13537296",NA," 40567643","0.3060","0.4290"
"59","4497","ABE231_TCR"," 15976093"," 16304424"," 16198552",NA," 48479069","0.3657","0.5127"
"60","4497","ABE232_TCR"," 11815993"," 12037993"," 11984549",NA," 35838535","0.2703","0.3790"
"61","4497","ABE233_TCR"," 12491529"," 12676602"," 12623189",NA," 37791320","0.2851","0.3997"
"62","4497","ABE234_TCR","  4547633","  4611781","  4597505","4497654"," 18254573","0.1377","0.1931"
"63","4497","ABE225_ADT"," 12946828"," 12469398"," 12497414",NA," 37913640","0.2860","0.4010"
"64","4497","ABE226_ADT"," 12870186"," 12358306"," 12382381",NA," 37610873","0.2837","0.3978"
"65","4497","ABE227_ADT"," 12413506"," 11959175"," 11975886",NA," 36348567","0.2742","0.3844"
"66","4497","ABE228_ADT"," 12173196"," 11767754"," 11791345",NA," 35732295","0.2695","0.3779"
"67","4497","ABE229_ADT"," 13275072"," 12794432"," 12812367",NA," 38881871","0.2933","0.4112"
"68","4497","ABE230_ADT"," 13716079"," 13137019"," 13117090",NA," 39970188","0.3015","0.4227"
"69","4497","ABE231_ADT"," 11894880"," 11411391"," 11420877",NA," 34727148","0.2620","0.3673"
"70","4497","ABE232_ADT"," 12296996"," 11822634"," 11742863",NA," 35862493","0.2705","0.3793"
"71","4497","ABE233_ADT"," 11905395"," 11485422"," 11499782",NA," 34890599","0.2632","0.3690"
"72","4497","ABE234_ADT"," 12008249"," 11576745"," 11594724",NA," 35179718","0.2654","0.3720"
